Patient_ID,phone_number,email,last_patient_outreach_date,last_patient_response_date
P0002,737.702.6699,CHARLOTTE.GARCIA@YAHOO.COM,2025-08-18,2025-08-26
P0003,268-632-7015,Rebecca.Lopez@outlook.com,2025-09-28,2025-10-21
P0004,,mARy.lee@GMail.com,2026-01-12,
P0005,987.233.6406,Harry.Brown@yahoo.com,2025-07-13,2025-07-16
P0006,247-984-7668,Wendy.Davis@aol.com,2025-11-16,2025-12-01
P0007,460.656.6594,Nancy.Ferguson@outlook.com,2025-05-16,
P0008,(878) 573-3758,claire.chan@yahoo.com,2026-02-20,2026-03-21
P0009,(964) 390-1726,John.Rodriguez@outlook.com,2025-04-09,2025-04-19
P0010,249-638-6452,ALice.Ng@YahOo.cOm,2026-03-11,2026-03-31
P0011,245.242.3912,,2025-11-27,2025-12-18
P0012,4874082006,eVA.youNg@outlOOk.cOM,2026-06-11,2026-07-10
P0013,566-690-3484,frank.little@outlook.com,2025-05-15,
P0014,2677618658,victor.perez@aol.com,2026-06-02,2026-06-14
P0015,(834) 610-4937,FIONA.CHEN@GMAIL.COM,2026-07-06,
P0016,(474) 384-8574,Tina.Zu@gmail.com,2025-12-24,2025-12-26
P0017,288.291.4088,John.Williams@yahoo.com,,
P0018,586-749-5438,frnk.rodriguez@aol.com,2025-05-08,
P0019,467-503-4211,Kylie.Ng@hotmail.com,2026-01-04,2026-01-05
P0020,9199863491,keiith.jackson@gmail.com,2026-01-05,2026-01-05
P0021,(915) 329-1496,frank.doe@outlook.com,,
P0022,284-513-9446,natalie.wu@aol.com,2026-06-01,2026-06-07
P0023,2414921424,Charli.Rodriguez@hotmail.com,2026-05-25,2026-05-29
P0024,5644939535,VICTOR.LIM@OUTLOOK.COM,2026-02-05,
P0025,8244587951,ava.miler@aol.com,2025-03-05,2025-03-30
P0026,761-568-7814,evan.lee@aol.com,2026-01-05,2026-01-27
P0027,373.644.3262,hannah.gaRciA@gMaIL.COM,2026-05-22,2026-06-12
P0028,,silvia.baker@yahoo.com,2026-07-18,2026-07-20
P0029,875-750-2988,betty.cooper@yahoo.com,2025-11-05,2025-12-03
P0030,815.986.9727,gale.little@yahoo.com,2026-07-03,2026-07-04
P0031,543.886.8707,john.johnson@yahoo.com,2025-02-23,
P0032,9614489635,bOB.rOdRiGuez@oUtlOoK.COM,2026-06-25,2026-07-14
P0033,929.861.1236,LiSa.kIM@aOL.com,2026-04-22,2026-05-03
P0034,3368311323,JOHN.BROWN@GMAIL.COM,2026-08-17,2026-08-19
P0035,(533) 391-4264,GrEg.SMith@OUTLOoK.COm,2025-06-26,2025-06-30
P0036,(265) 732-7402,Grace.Rodriguez@hotmail.com,2025-06-28,2025-07-09
P0037,465-933-7990,bob.miller@yahoo.com,2026-05-30,2026-06-26
P0038,250-342-8288,ZAChaRy.JONEZ@yAhoO.coM,2025-02-21,2025-03-07
P0039,2397395531,joshua.rodriguez@yahoo.com,2025-12-20,2025-12-29
P0040,(501) 812-2950,paul.jackson@yahoo.com,2025-05-17,2025-05-18
P0041,8006224193,alice.rodriguez@yahoo.com,2025-08-24,2025-08-31
P0042,727-885-3809,jane.johnson@gmail.com,2025-08-27,2025-09-22
P0043,377-950-7528,katherine.lee@gmail.com,,
P0044,604-392-3875,pauline.miller@outlook.com,2025-12-16,
P0045,503-348-4729,alice.bush@gmail.com,,
P0046,568.648.7549,keith.volkov@gmail.com,2026-08-03,2026-08-13
P0047,235.219.6600,frank.brown@gmail.com,2025-06-06,
P0048,8892066386,william.davis@outlook.com,2026-01-14,
P0049,7907698139,Eva.sMItH@oUtLOok.CoM,2026-01-06,2026-01-20
P0050,(846) 286-8607,tina.smirnov@hotmail.com,2026-07-14,2026-07-22
P0051,(708) 535-4994,Dale.Perez@outlook.com,2026-07-25,
P0052,591-736-5694,ailce.wiliams@aol.com,2025-11-21,
P0053,,john.davis@aol.com,2026-07-01,2026-07-21
P0054,,michelle.johnson@gmail.com,2025-07-07,
P0055,506-238-4646,FRANK.SHARP@GMAIL.COM,2026-05-17,2026-06-02
P0056,2749761168,Melanie.Johnson@gmail.com,2025-12-31,2026-01-05
P0057,(376) 764-9925,KATHERINE.KIM@HOTMAIL.COM,2025-03-02,2025-03-11
P0058,(293) 738-9649,pauline.ng@hotmail.com,2026-06-01,2026-06-11
P0059,(599) 983-6515,johN.jOnEs@gMAIL.COM,2026-02-05,2026-02-28
P0060,4219817448,Bob.dAViDSOn@YAhoo.COM,2026-05-28,2026-06-02
P0061,(240) 757-4855,vanessa.brown@yahoo.com,2025-04-30,
P0062,932.568.8125,Christopher.Jackson@aol.com,2025-10-18,2025-10-19
P0063,(672) 261-4584,david.garcia@aol.com,2025-03-19,2025-04-08
P0064,206.252.2867,Grace#.Smith@outlook.com,2025-12-17,
P0065,3574832967,grace.jones@hotmail.com,2026-05-31,2026-06-16
P0066,(440) 277-5346,jane.rodriguez@yahoo.com,2025-04-28,2025-04-30
P0067,(906) 352-8934,daniella.brown@aol.com,2025-07-08,2025-07-10
P0068,9253812672,john.dAviS@GMaiL.cOM,2026-06-12,2026-06-28
P0069,232-805-9906,RUBY.JACKSON@HOTMAIL.COM,2025-09-16,2025-09-22
